+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 178  | ZINC000003831996 |    Q4QBL1   |     14.71     |
| 179  | ZINC000003925649 |    Q4QBL1   |     15.33     |
| 180  | ZINC000084726167 |    Q4QBL1   |     15.55     |
| 181  | ZINC000000897240 |    Q4QBL1   |     15.63     |
| 182  | ZINC000000601229 |    Q4QBL1   |     15.63     |
| 183  | ZINC000000833553 |    Q4QBL1   |     15.73     |
| 184  | ZINC000044305871 |    Q4QBL1   |     15.90     |
| 185  | ZINC000063539231 |    Q4QBL1   |     16.03     |
| 186  | ZINC000000597260 |    Q4QBL1   |     16.07     |
| 187  | ZINC000022064534 |    Q4QBL1   |     16.07     |
| 188  | ZINC000003959242 |    Q4QBL1   |     16.23     |
| 189  | ZINC000000119434 |    Q4QBL1   |     16.61     |
| 190  | ZINC000100057533 |    Q4QBL1   |     16.61     |
| 191  | ZINC000006092086 |    Q4QBL1   |     16.78     |
| 192  | ZINC000006092087 |    Q4QBL1   |     16.78     |
| 193  | ZINC000033948956 |    Q4QBL1   |     16.89     |
| 194  | ZINC000072190160 |    Q4QBL1   |     17.11     |
| 195  | ZINC000072190159 |    Q4QBL1   |     17.11     |
| 196  | ZINC000072190161 |    Q4QBL1   |     17.11     |
| 197  | ZINC000072190158 |    Q4QBL1   |     17.11     |
| 198  | ZINC000014299682 |    Q4QBL1   |     17.30     |
| 199  | ZINC000100285161 |    Q4QBL1   |     17.81     |
| 200  | ZINC000138562667 |    Q4QBL1   |     17.87     |
| 201  | ZINC000138930200 |    Q4QBL1   |     18.01     |
| 202  | ZINC000033650458 |    Q4QBL1   |     18.14     |
| 203  | ZINC000000968338 |    Q4QBL1   |     18.46     |
| 204  | ZINC000000968340 |    Q4QBL1   |     18.46     |
| 205  | ZINC000003828536 |    Q4QBL1   |     18.57     |
| 206  | ZINC000000968310 |    Q4QBL1   |     18.72     |
| 207  | ZINC000000000509 |    Q4QBL1   |     18.72     |
| 208  | ZINC000685933068 |    Q4QBL1   |     18.73     |
| 209  | ZINC000000001395 |    Q4QBL1   |     18.88     |
| 210  | ZINC000001997240 |    Q4QBL1   |     18.88     |
| 211  | ZINC000019632718 |    Q4QBL1   |     19.19     |
| 212  | ZINC000019632713 |    Q4QBL1   |     19.19     |
| 213  | ZINC000064559600 |    Q4QBL1   |     19.49     |
| 214  | ZINC000035997754 |    Q4QBL1   |     19.49     |
| 215  | ZINC000001536106 |    Q4QBL1   |     19.53     |
| 216  | ZINC000035279789 |    Q4QBL1   |     19.56     |
| 217  | ZINC000003814360 |    Q4QBL1   |     19.60     |
| 218  | ZINC000000603777 |    Q4QBL1   |     19.62     |
| 219  | ZINC000150338699 |    Q4QBL1   |     19.67     |
| 220  | ZINC000000602917 |    Q4QBL1   |     19.71     |
| 221  | ZINC000936069565 |    Q4QBL1   |     19.73     |
| 222  | ZINC000164528615 |    Q4QBL1   |     19.73     |
| 223  | ZINC000003920027 |    Q4QBL1   |     19.89     |
| 224  | ZINC000001533058 |    Q4QBL1   |     19.98     |
| 225  | ZINC000013492899 |    Q4QBL1   |     20.08     |
| 226  | ZINC000035801098 |    Q4QBL1   |     20.22     |
| 227  | ZINC000003873121 |    Q4QBL1   |     20.23     |
| 228  | ZINC000002530703 |    Q4QBL1   |     20.24     |
| 229  | ZINC000003929508 |    Q4QBL1   |     20.24     |
| 230  | ZINC000038141706 |    Q4QBL1   |     20.40     |
| 231  | ZINC000038141705 |    Q4QBL1   |     20.40     |
| 232  | ZINC000021981258 |    Q4QBL1   |     20.93     |
| 233  | ZINC000021981256 |    Q4QBL1   |     20.93     |
| 234  | ZINC000001853550 |    Q4QBL1   |     21.10     |
| 235  | ZINC000072267010 |    Q4QBL1   |     21.53     |
| 236  | ZINC000003992480 |    Q4QBL1   |     21.56     |
| 237  | ZINC000100378061 |    Q4QBL1   |     21.79     |
| 238  | ZINC000003830820 |    Q4QBL1   |     21.83     |
| 239  | ZINC000095618739 |    Q4QBL1   |     22.24     |
| 240  | ZINC000095618740 |    Q4QBL1   |     22.24     |
| 241  | ZINC000145424989 |    Q4QBL1   |     22.44     |
