drug,prot,score
ZINC000001238583,Q4QHJ8,39853.48
ZINC000001238584,Q4QHJ8,39853.48
ZINC000100054860,P48499,39859.34
ZINC000100054862,P48499,39859.34
ZINC000003977751,Q6TUJ5,3986.03
ZINC000012503139,Q27686,3986.24
ZINC000000001317,Q4QBL1,39864.46
ZINC000019364219,Q4QBL1,39864.81
ZINC000001482035,Q6TUJ5,39871.29
ZINC000007997952,Q4QBL1,39872.43
ZINC000000000242,Q4QBL1,39872.43
ZINC000096309558,Q4QHJ8,3989.35
ZINC000000001320,P48499,3989.88
ZINC000030731098,Q6TUJ5,399.17
ZINC000030731093,Q6TUJ5,399.17
ZINC000003812892,O97193,399.34
ZINC000003831511,O97193,399.34
ZINC000001530568,O97193,399.81
ZINC000001530567,O97193,399.81
ZINC000005424275,Q6TUJ5,3991.04
ZINC000033944288,O15826,3991.1
ZINC000033944289,O15826,3991.1
ZINC000000001099,O97193,3991.78
ZINC000000002181,Q4QBL1,39913.17
ZINC000001482128,Q6TUJ5,39916.5
ZINC000003938628,Q27686,3992.39
ZINC000003812306,P48499,3992.89
ZINC000000896988,P48499,39922.59
ZINC000001656327,O97193,39924.61
ZINC000004748451,O97193,39924.61
ZINC000001530871,P48499,39929.78
ZINC000001530872,P48499,39929.78
ZINC000003830891,P48499,39950.83
ZINC000100006770,Q4QBL1,39953.59
ZINC000000001587,O15826,3996.0
ZINC000003830891,Q27686,39964.43
ZINC000043207851,Q4QHJ8,3997.11
ZINC000063539381,Q4QHJ8,3997.11
ZINC000000001064,P48499,39971.41
ZINC000003842753,Q27686,39976.94
ZINC000018279854,Q27686,39986.24
ZINC000000001490,O97193,39986.24
ZINC000003795098,Q27686,39987.34
ZINC000003782599,Q4QHJ8,39991.07
ZINC000003918453,O15826,4.0
ZINC000003875387,O15826,4.01
ZINC000000601314,Q4QHJ8,4.01
ZINC000003813082,Q4QHJ8,4.01
ZINC000019796035,O15826,4.04
ZINC000019796033,O15826,4.04
ZINC000006117750,O15826,4.05
ZINC000006117751,O15826,4.05
ZINC000005752191,O15826,4.06
ZINC000003983936,O15826,4.06
ZINC000038141706,O97193,4.07
ZINC000038141705,O97193,4.07
ZINC000030691727,O97193,4.1
ZINC000030691722,O97193,4.1
ZINC000019701765,O15826,4.12
ZINC000003831012,O15826,4.13
ZINC000008234190,O15826,4.14
ZINC000002000902,O97193,4.14
ZINC000118913630,O15826,4.14
ZINC000012503242,O97193,4.15
ZINC000025757754,O97193,4.16
ZINC000198970879,O15826,4.17
ZINC000030731379,O15826,4.17
ZINC000004896000,O15826,4.17
ZINC000001482169,Q4QBL1,4.17
ZINC000000001547,O15826,4.17
ZINC000000005994,O97193,4.19
ZINC000150338699,O97193,4.21
ZINC000068153186,Q4QHJ8,4.27
ZINC000251257402,O15826,4.28
ZINC000000898188,O15826,4.28
ZINC000014880007,O15826,4.28
ZINC000261515676,O15826,4.28
ZINC000253387331,O15826,4.28
ZINC000106400715,O15826,4.28
ZINC000008220548,O15826,4.28
ZINC000004097225,Q4QHJ8,4.28
ZINC000100011067,Q4QHJ8,4.31
ZINC000001855421,O15826,4.35
ZINC000003929508,O97193,4.35
ZINC000002528486,O97193,4.36
ZINC000002509755,O97193,4.36
ZINC000000607750,O15826,4.36
ZINC000002038967,O15826,4.36
ZINC000100047524,O97193,4.37
ZINC000000537802,O15826,4.37
ZINC000100036756,O97193,4.37
ZINC000100027531,O97193,4.37
ZINC000100036751,O97193,4.37
ZINC000100036760,O97193,4.37
ZINC000000897234,O97193,4.37
ZINC000030691420,O15826,4.37
ZINC000000897236,O97193,4.37
ZINC000000000449,Q4QHJ8,4.4
ZINC000100001918,Q4QHJ8,4.4
ZINC000000607939,Q4QHJ8,4.4
ZINC000003813083,Q4QHJ8,4.4
ZINC000012494489,O15826,4.42
ZINC000004474460,O15826,4.42
ZINC000004521924,O15826,4.42
ZINC000003920027,O97193,4.44
ZINC000030731089,O97193,4.46
ZINC000044699444,O97193,4.46
ZINC000100057533,O97193,4.47
ZINC000000119434,O97193,4.47
ZINC000100036900,O15826,4.52
ZINC000100036904,O15826,4.52
ZINC000100036907,O15826,4.52
ZINC000100036910,O15826,4.52
ZINC000100371992,O97193,4.54
ZINC000012503068,O97193,4.54
ZINC000100018594,O97193,4.54
ZINC000100018598,O97193,4.54
ZINC000100016084,O97193,4.54
ZINC000000119403,O15826,4.55
ZINC000004097439,O15826,4.56
ZINC000004097438,O15826,4.56
ZINC000026892643,O15826,4.57
ZINC000008143796,O15826,4.58
ZINC000100378061,O97193,4.58
ZINC000001891034,O15826,4.59
ZINC000013537284,O15826,4.61
ZINC000001599729,O15826,4.62
ZINC000000049583,O15826,4.62
ZINC000019796035,O97193,4.62
ZINC000019796033,O97193,4.62
ZINC000001599730,O15826,4.62
ZINC000001482077,O15826,4.67
ZINC000095618655,O97193,4.67
ZINC000095618656,O97193,4.67
ZINC000003831583,O15826,4.68
ZINC000001530598,O97193,4.68
ZINC000003992480,O97193,4.68
ZINC000008101127,O97193,4.68
ZINC000049637509,O15826,4.68
ZINC000003831582,O15826,4.68
ZINC000029571072,O15826,4.68
ZINC000003831584,O15826,4.68
ZINC000003831581,O15826,4.68
ZINC000100308860,O15826,4.68
ZINC000100308855,O15826,4.68
ZINC000100308851,O15826,4.68
ZINC000095564694,O15826,4.73
ZINC000001588900,O15826,4.73
ZINC000021981454,O15826,4.73
ZINC000022056306,O15826,4.73
ZINC000000900630,O97193,4.75
ZINC000000013748,O97193,4.75
ZINC000030731379,O97193,4.76
ZINC000242723018,O15826,4.76
ZINC000049013803,O97193,4.76
ZINC000013674440,O97193,4.76
ZINC000242723020,O15826,4.76
ZINC000100054840,O15826,4.76
ZINC000001656905,O15826,4.76
ZINC000001656906,O15826,4.76
ZINC000000537802,O97193,4.77
ZINC000003921872,O97193,4.77
ZINC000004654793,O97193,4.77
ZINC000003787060,Q4QBL1,4.79
ZINC000022061277,O15826,4.79
ZINC000299817032,Q4QHJ8,4.8
ZINC000003861134,O15826,4.86
ZINC000003861133,O15826,4.86
ZINC000018324776,O15826,4.87
ZINC000019796087,O15826,4.89
ZINC000084400879,O15826,4.89
ZINC000003875387,O97193,4.89
ZINC000014768568,O15826,4.91
ZINC000027428713,O15826,4.91
ZINC000084403367,O97193,4.92
ZINC000100001908,O97193,4.92
ZINC000000607750,O97193,4.97
ZINC000002038967,O97193,4.97
ZINC000000119403,O97193,4.98
ZINC000001588900,Q4QBL1,40.0
ZINC000022056306,Q4QBL1,40.0
ZINC000003831012,Q27686,40.01
ZINC000299817032,P48499,40.02
ZINC000004097438,Q27686,40.03
ZINC000004097439,Q27686,40.03
ZINC000100009278,Q27686,40.06
ZINC000100042076,Q27686,40.06
ZINC000100009280,Q27686,40.06
ZINC000003830933,O97193,40.08
ZINC000030731089,Q27686,40.14
ZINC000044699444,Q27686,40.14
ZINC000004235575,O97193,40.22
ZINC000004212626,O97193,40.23
ZINC000003809192,O15826,40.26
ZINC000003875355,O97193,40.28
ZINC000003780893,O15826,40.33
ZINC000095618628,O97193,40.37
ZINC000095618627,O97193,40.37
ZINC000003831595,O97193,40.41
ZINC000003831594,O97193,40.41
ZINC000095618748,Q4QHJ8,40.42
ZINC000095618749,Q4QHJ8,40.42
ZINC000019632663,Q4QBL1,40.44
ZINC000019632657,Q4QBL1,40.44
ZINC000021981454,Q27686,40.44
ZINC000095618648,O15826,40.47
ZINC000004214740,O15826,40.57
ZINC000000897229,Q6TUJ5,40.63
ZINC000000897232,Q6TUJ5,40.63
ZINC000040165218,O15826,40.64
ZINC000040165255,O15826,40.64
ZINC000040165217,O15826,40.64
ZINC000101210593,O97193,40.66
ZINC000101210596,O97193,40.66
ZINC000100055075,O97193,40.67
ZINC000100055077,O97193,40.67
ZINC000000049583,Q27686,40.71
ZINC000001599730,Q27686,40.71
ZINC000001599729,Q27686,40.71
ZINC000012503109,O97193,40.72
ZINC000004771864,O97193,40.72
ZINC000012503112,O97193,40.72
ZINC000004771863,O97193,40.72
ZINC000018324776,Q27686,40.78
ZINC000004215812,O97193,40.79
ZINC000003936683,Q6TUJ5,40.79
ZINC000004175569,O15826,40.79
ZINC000006409735,Q4QBL1,40.8
ZINC000002019585,O15826,40.85
ZINC000000005349,O15826,40.85
ZINC000005161502,O15826,40.85
ZINC000002570882,O15826,40.85
ZINC000004216332,O97193,40.86
ZINC000053683694,Q4QHJ8,40.87
ZINC000053683690,Q4QHJ8,40.87
ZINC000000000724,O97193,40.95
ZINC000002005958,O97193,40.95
ZINC000000000903,O97193,40.97
ZINC000095617637,O15826,400.0
ZINC000095617638,O15826,400.0
ZINC000095617639,O15826,400.0
ZINC000095617640,O15826,400.0
ZINC000218037687,Q27686,400.02
ZINC000027990463,Q6TUJ5,400.27
ZINC000001873617,O97193,400.32
ZINC000002042694,O97193,400.32
ZINC000014768469,O15826,400.54
ZINC000004215257,O15826,400.54
ZINC000006096129,Q4QBL1,400.6
ZINC000006096132,Q4QBL1,400.6
ZINC000019336232,Q4QHJ8,400.65
ZINC000000900543,P48499,4000.4
ZINC000000009710,P48499,4000.4
ZINC000001530751,Q4QBL1,40002.53
ZINC000001530752,Q4QBL1,40002.53
ZINC000005191096,Q4QHJ8,40009.87
ZINC000003824065,Q4QHJ8,40009.87
ZINC000003805798,Q4QBL1,4001.2
ZINC000005764335,Q4QBL1,4001.94
ZINC000008577218,Q4QHJ8,40016.9
ZINC000003776970,Q27686,4002.18
ZINC000004474443,Q27686,4002.18
ZINC000035024346,P48499,40021.82
ZINC000100004343,O97193,4003.78
ZINC000100004345,O97193,4003.78
ZINC000253613243,Q4QBL1,40031.14
ZINC000253613241,Q4QBL1,40031.14
ZINC000100054332,Q4QBL1,40031.14
ZINC000100054334,Q4QBL1,40031.14
ZINC000253613242,Q4QBL1,40031.14
ZINC000253613240,Q4QBL1,40031.14
ZINC000022056510,Q6TUJ5,40037.2
ZINC000008551087,P48499,4005.87
ZINC000096006041,P48499,4005.87
ZINC000000968256,Q6TUJ5,40051.93
ZINC000003920266,Q6TUJ5,4006.15
ZINC000030691736,Q4QHJ8,4006.52
ZINC000005761797,P48499,4006.63
ZINC000000608213,O15826,4007.19
ZINC000004216820,Q4QHJ8,40074.41
ZINC000002032663,Q6TUJ5,40079.07
ZINC000003812867,P48499,4008.22
ZINC000004618208,Q27686,40089.55
ZINC000001530935,Q27686,40089.55
ZINC000013514109,Q4QBL1,4009.94
ZINC000000119344,Q4QHJ8,400975.6
ZINC000008214619,Q27686,401.53
ZINC000077292463,Q27686,401.61
ZINC000095618766,Q27686,401.61
ZINC000095618765,Q27686,401.61
ZINC000077292462,Q27686,401.61
ZINC000003812851,Q6TUJ5,40106.1
ZINC000100014475,Q27686,40108.83
ZINC000001532517,Q4QBL1,4011.93
ZINC000001999512,Q6TUJ5,40120.55
ZINC000000000513,Q6TUJ5,40120.55
ZINC000003782823,Q4QBL1,40122.09
ZINC000001542919,Q27686,40127.33
ZINC000000968349,Q4QBL1,40129.49
ZINC000000968350,Q4QBL1,40129.49
ZINC000003830713,Q4QHJ8,4013.75
ZINC000000018087,Q6TUJ5,40157.35
ZINC000013831130,Q6TUJ5,4017.48
ZINC000003629271,P48499,40173.97
ZINC000000135391,O15826,401832.81
ZINC000019796158,Q6TUJ5,402.11
ZINC000001533877,Q27686,402.37
ZINC000030731098,P48499,402.43
ZINC000030731093,P48499,402.43
ZINC000000002166,O15826,402.63
ZINC000052955754,Q4QHJ8,402.86
ZINC000000538483,Q27686,402.91
ZINC000040165209,Q6TUJ5,40216.43
ZINC000040952813,Q4QBL1,40219.17
ZINC000002586020,Q4QBL1,40219.17
ZINC000029747100,O15826,4022.55
ZINC000034187835,Q4QBL1,40226.59
ZINC000002036972,O15826,402289.48
ZINC000001683250,O15826,402289.48
ZINC000410428640,Q4QBL1,40234.18
ZINC000410428641,Q4QBL1,40234.18
ZINC000000895048,Q4QHJ8,40243.73
ZINC000003977945,Q27686,40252.87
ZINC000005762010,O15826,40258.04
ZINC000000006310,Q6TUJ5,402580.0
ZINC000003830375,Q6TUJ5,40273.08
ZINC000005141586,Q6TUJ5,40276.44
ZINC000030731295,Q6TUJ5,40281.83
ZINC000008035395,Q4QHJ8,4029.01
ZINC000008143866,Q4QHJ8,4029.01
ZINC000008143864,Q4QHJ8,4029.01
ZINC000003938642,P48499,40290.37
ZINC000002020110,O97193,40292.27
ZINC000096006021,O97193,403.21
ZINC000253855706,O97193,403.21
ZINC000003927822,Q27686,403.85
ZINC000001532843,Q27686,4030.52
ZINC000001532844,Q27686,4030.52
ZINC000000897288,Q6TUJ5,403017.84
ZINC000001530757,O97193,403038.64
ZINC000000538159,Q4QBL1,40322.19
ZINC000005975487,O97193,40322.98
ZINC000000049151,Q4QHJ8,40323.38
ZINC000019014866,P48499,4033.23
ZINC000085540244,Q6TUJ5,4033.52
ZINC000008143723,Q6TUJ5,4033.52
ZINC000001671093,Q27686,40333.26
ZINC000038139856,Q27686,40333.26
ZINC000001671094,Q27686,40333.26
ZINC000001671094,P48499,40343.13
ZINC000001671093,P48499,40343.13
ZINC000038139856,P48499,40343.13
ZINC000001532734,O97193,403478.3
ZINC000001529592,O97193,40348.8
ZINC000003202703,Q27686,4035.22
ZINC000005760499,Q6TUJ5,403577.76
ZINC000005760560,Q6TUJ5,403577.76
ZINC000003995616,Q6TUJ5,4036.07
ZINC000067665433,Q27686,4036.75
ZINC000001532582,P48499,40388.56
ZINC000001532583,P48499,40388.56
ZINC000003938628,O15826,404.05
ZINC000003881958,Q6TUJ5,404.08
ZINC000001444556,P48499,404.15
ZINC000072190173,Q4QHJ8,404.85
ZINC000037868226,Q4QHJ8,404.85
ZINC000084402690,Q4QHJ8,404.85
ZINC000004096712,Q4QHJ8,404.86
ZINC000030691797,Q27686,40402.31
ZINC000003873817,Q6TUJ5,4042.13
ZINC000095618795,P48499,4042.25
ZINC000095618794,P48499,4042.25
ZINC000096077893,P48499,4042.25
ZINC000096006009,P48499,40426.89
ZINC000002570895,Q4QBL1,4043.68
ZINC000000967928,Q6TUJ5,40430.36
ZINC000019594599,O97193,40431.6
ZINC000013550868,Q4QHJ8,40434.35
ZINC000001530872,Q4QHJ8,40445.01
ZINC000001530871,Q4QHJ8,40445.01
ZINC000003598263,O97193,40448.74
ZINC000001690604,O97193,4045.35
ZINC000000000373,O97193,4045.35
ZINC000001530283,Q6TUJ5,404582.66
ZINC000019364224,Q4QHJ8,40477.88
ZINC000019364222,Q4QHJ8,40477.88
ZINC000000518554,O97193,404934.85
ZINC000000002159,Q4QBL1,40498.29
ZINC000000538337,O97193,405.12
ZINC000299818020,Q27686,405.3
ZINC000299818022,Q27686,405.3
ZINC000100735958,Q27686,405.3
ZINC000299818021,Q27686,405.3
ZINC000004216862,O97193,405.42
ZINC000003875357,O97193,405.42
ZINC000036056301,O97193,405.83
ZINC000003981610,Q4QHJ8,405.84
ZINC000001611775,Q4QHJ8,405.85
ZINC000100001964,O15826,405.91
ZINC000100001965,O15826,405.91
ZINC000003809191,Q4QBL1,405.93
ZINC000003813003,O97193,405.95
ZINC000003978654,Q27686,4050.46
ZINC000022047714,Q4QBL1,40500.29
ZINC000003830212,P48499,40505.27
ZINC000004216238,Q4QBL1,40512.39
ZINC000000156822,Q27686,405126.08
ZINC000003830381,Q27686,40513.81
ZINC000027641461,Q27686,40513.81
ZINC000001543181,P48499,40516.61
ZINC000013233295,Q6TUJ5,40530.89
ZINC000000895536,Q6TUJ5,40533.47
ZINC000003779726,Q6TUJ5,4054.27
ZINC000100052267,P48499,40558.94
ZINC000100035385,P48499,40558.94
ZINC000003201948,P48499,40558.94
ZINC000012503153,P48499,40558.94
ZINC000000000368,P48499,40558.94
ZINC000003201950,P48499,40558.94
ZINC000003616630,Q6TUJ5,4056.38
ZINC000000014551,Q6TUJ5,4056.38
ZINC000000014669,Q6TUJ5,4056.38
ZINC000002559943,Q6TUJ5,4056.38
ZINC000008466459,O97193,4056.53
ZINC000006021043,O97193,4056.53
ZINC000005116153,O97193,4056.73
ZINC000005116154,O97193,4056.73
ZINC000003079342,O97193,4056.75
ZINC000065740836,P48499,40560.85
ZINC000002018620,P48499,40562.77
ZINC000002018621,P48499,40562.77
ZINC000002040987,Q6TUJ5,40567.8
ZINC000002040985,Q6TUJ5,40567.8
ZINC000002040984,Q6TUJ5,40567.8
ZINC000002040986,Q6TUJ5,40567.8
ZINC000005514233,O15826,4057.09
ZINC000005514225,O15826,4057.09
ZINC000005514227,O15826,4057.09
ZINC000004213231,O15826,4057.09
ZINC000008214514,O97193,4057.84
ZINC000000001792,O15826,4059.28
ZINC000095588079,Q6TUJ5,40593.15
ZINC000006119299,Q4QHJ8,40596.63
ZINC000001812122,Q6TUJ5,40598.99
ZINC000001812123,Q6TUJ5,40598.99
ZINC000000000500,O15826,406.45
ZINC000031290884,O15826,406.51
ZINC000031290887,O15826,406.51
ZINC000000057401,Q4QBL1,406.7
ZINC000003881640,O15826,406.7
ZINC000006019913,Q6TUJ5,406.99
ZINC000013527467,Q6TUJ5,406.99
ZINC000100070274,Q4QBL1,40600.24
ZINC000000587613,Q4QBL1,40600.24
ZINC000001530303,Q4QHJ8,4061.45
ZINC000000001677,P48499,40611.52
ZINC000001529628,O97193,40622.45
ZINC000003816514,P48499,4063.24
ZINC000000057302,Q27686,40630.12
ZINC000000037293,Q6TUJ5,40638.11
ZINC000005140888,Q6TUJ5,4064.68
ZINC000012494987,Q6TUJ5,4064.68
ZINC000005783214,Q4QBL1,40648.95
ZINC000000001016,Q4QHJ8,40662.21
ZINC000003782599,Q27686,40668.41
ZINC000095618900,Q6TUJ5,40683.06
ZINC000049783754,Q6TUJ5,40683.06
ZINC000000896717,Q4QBL1,40687.22
ZINC000005179119,P48499,40688.33
ZINC000000125006,O15826,4069.06
ZINC000004340269,Q6TUJ5,40696.37
ZINC000100055899,O97193,407.16
ZINC000030731133,Q27686,407.43
ZINC000012468792,Q27686,407.54
ZINC000000897244,P48499,407.75
ZINC000003876078,Q27686,407.8
ZINC000040165249,Q4QHJ8,4070.97
ZINC000005651594,O97193,4071.93
ZINC000001843042,Q6TUJ5,40712.28
ZINC000001481836,Q6TUJ5,40712.28
ZINC000000057513,Q6TUJ5,40715.06
ZINC000022047789,Q4QBL1,40720.6
ZINC000022047784,Q4QBL1,40720.6
ZINC000000896938,Q6TUJ5,40726.41
ZINC000000896937,Q6TUJ5,40726.41
ZINC000001530762,Q6TUJ5,40740.23
ZINC000001530788,Q4QHJ8,40765.83
ZINC000095618885,Q27686,408.0
ZINC000095617653,Q4QHJ8,408.27
ZINC000095617654,Q4QHJ8,408.27
ZINC000000000196,Q4QHJ8,408.65
ZINC000000155531,Q4QHJ8,408.65
ZINC000022060583,O97193,408.66
ZINC000253535770,O97193,408.66
ZINC000261494699,O97193,408.66
ZINC000261494698,O97193,408.66
ZINC000253535768,O97193,408.66
ZINC000000006694,Q4QHJ8,408.81
ZINC000001603364,O97193,4081.63
ZINC000006733300,Q4QBL1,4082.68
ZINC000031415834,Q4QHJ8,4083.8
ZINC000040165203,Q4QHJ8,4083.8
ZINC000031415836,Q4QHJ8,4083.8
ZINC000031415830,Q4QHJ8,4083.8
ZINC000040165202,Q4QHJ8,4083.8
ZINC000000266964,O15826,408347.69
ZINC000005425173,O15826,4084.16
ZINC000066166864,P48499,4085.22
ZINC000003860857,Q4QBL1,40853.2
ZINC000002040459,Q6TUJ5,408617.46
ZINC000001909090,Q6TUJ5,40863.43
ZINC000242522150,Q4QBL1,40867.56
ZINC000000001271,Q6TUJ5,40868.5
ZINC000004038341,O15826,4087.07
ZINC000003978029,O15826,4087.07
ZINC000003978028,O15826,4087.07
ZINC000008552275,O15826,4087.07
ZINC000029566455,P48499,408771.15
ZINC000029566459,P48499,408771.15
ZINC000003973334,Q4QHJ8,4088.43
ZINC000000057512,Q4QBL1,40889.01
ZINC000150338703,Q6TUJ5,40898.12
ZINC000095618878,Q4QHJ8,409.43
ZINC000095618879,Q4QHJ8,409.43
ZINC000245189278,Q6TUJ5,409068.15
ZINC000021981235,Q6TUJ5,40907.42
ZINC000095618758,P48499,4092.97
ZINC000095618763,P48499,4092.97
ZINC000095618762,P48499,4092.97
ZINC000095618759,P48499,4092.97
ZINC000095618761,P48499,4092.97
ZINC000095618757,P48499,4092.97
ZINC000095618764,P48499,4092.97
ZINC000095618760,P48499,4092.97
ZINC000004099002,Q4QHJ8,40921.98
ZINC000008101126,Q4QHJ8,40927.73
ZINC000000007368,Q6TUJ5,40928.36
ZINC000000001291,O97193,40930.29
ZINC000011677376,O15826,4095.98
ZINC000000004893,O15826,4095.98
ZINC000000002299,O15826,4095.98
ZINC000034125842,O15826,4095.98
ZINC000002019929,O15826,40961.26
ZINC000000608266,O15826,4097.22
ZINC000005509740,Q27686,409887.97
ZINC000001529425,Q4QHJ8,4099.87
ZINC000003799319,O97193,41.03
ZINC000004217580,Q4QHJ8,41.1
ZINC000077269421,O15826,41.21
ZINC000077269419,O15826,41.21
ZINC000261494551,O15826,41.21
ZINC000261494553,O15826,41.21
ZINC000261494552,O15826,41.21
ZINC000261494554,O15826,41.21
ZINC000036401375,O15826,41.29
ZINC000000601249,O97193,41.3
ZINC000008143796,Q27686,41.3
ZINC000004217580,Q4QBL1,41.32
ZINC000000000250,O97193,41.38
ZINC000001846199,O97193,41.38
ZINC000100308851,Q27686,41.44
ZINC000100308855,Q27686,41.44
ZINC000100308860,Q27686,41.44
ZINC000003831583,Q27686,41.44
ZINC000003831584,Q27686,41.44
ZINC000003831581,Q27686,41.44
ZINC000003831582,Q27686,41.44
ZINC000002000902,Q4QBL1,41.45
ZINC000000006300,O97193,41.46
ZINC000000538069,O15826,41.47
ZINC000003830339,O15826,41.47
ZINC000000537928,O97193,41.49
ZINC000004212854,O15826,41.59
ZINC000003798734,Q6TUJ5,41.62
ZINC000012496045,Q6TUJ5,41.62
ZINC000256479162,Q6TUJ5,41.67
ZINC000027552910,Q6TUJ5,41.67
ZINC000003813042,O15826,41.67
ZINC000256479159,Q6TUJ5,41.67
ZINC000004214473,Q6TUJ5,41.67
ZINC000118915344,Q6TUJ5,41.67
ZINC000256479166,Q6TUJ5,41.67
ZINC000019702309,O15826,41.71
ZINC000003977767,Q4QBL1,41.72
ZINC000100016058,P48499,41.72
ZINC000000031165,O97193,41.73
ZINC000000031164,O97193,41.73
ZINC000169621213,O15826,41.76
ZINC000169621214,O15826,41.76
ZINC000021982937,O15826,41.76
ZINC000033965961,O15826,41.76
ZINC000169621217,O15826,41.76
ZINC000261494697,Q27686,41.79
ZINC000118915227,Q27686,41.79
ZINC000014089740,O97193,41.79
ZINC000118915228,Q27686,41.79
ZINC000118915229,Q27686,41.79
ZINC000118915230,Q27686,41.79
ZINC000261494696,Q27686,41.79
ZINC000095618870,Q27686,41.79
ZINC000008035268,O97193,41.96
ZINC000103660515,Q4QBL1,41.96
ZINC000100013500,Q4QBL1,41.96
ZINC000003931840,Q4QBL1,41.96
ZINC000068197809,O97193,41.97
ZINC000001997125,O15826,410.02
ZINC000003940470,O15826,410.02
ZINC000003815424,O97193,410.11
ZINC000003780898,O15826,410.13
ZINC000000003877,O15826,410.13
ZINC000035635997,O97193,410.29
ZINC000035635999,O97193,410.29
ZINC000009302211,O97193,410.44
ZINC000100026355,Q6TUJ5,410.45
ZINC000003830962,Q4QHJ8,410.64
ZINC000256787842,Q4QHJ8,410.64
ZINC000003820029,Q27686,410.85
ZINC000000006787,Q4QBL1,410.89
ZINC000095618351,Q6TUJ5,410.91
ZINC000019606670,P48499,41002.35
ZINC000000213065,Q6TUJ5,41008.38
ZINC000001533102,O15826,4101.39
ZINC000003984042,Q6TUJ5,41014.68
ZINC000003833876,Q6TUJ5,41014.68
ZINC000012402850,Q6TUJ5,41014.68
ZINC000012402849,Q6TUJ5,41014.68
ZINC000071758443,P48499,4102.51
ZINC000004576930,P48499,4102.51
ZINC000013520633,P48499,4102.51
ZINC000013520637,P48499,4102.51
ZINC000016951989,P48499,4102.51
ZINC000004576931,P48499,4102.51
ZINC000015263894,O97193,4103.12
ZINC000008383206,Q4QBL1,41039.91
ZINC000001531029,P48499,41042.57
ZINC000102136971,Q4QHJ8,41047.34
ZINC000008234405,Q4QHJ8,41047.34
ZINC000040165221,Q4QHJ8,41047.34
ZINC000040165220,Q4QHJ8,41047.34
ZINC000040165219,Q4QHJ8,41047.34
ZINC000102136963,Q4QHJ8,41047.34
ZINC000003876186,P48499,4105.23
ZINC000001850156,P48499,41060.15
ZINC000001850155,P48499,41060.15
ZINC000008035017,Q6TUJ5,41062.44
ZINC000004538773,Q6TUJ5,41062.44
ZINC000008214573,Q4QBL1,410627.38
ZINC000085650610,P48499,4107.43
ZINC000113632070,O15826,4107.83
ZINC000113632074,O15826,4107.83
ZINC000113632072,O15826,4107.83
ZINC000113632069,O15826,4107.83
ZINC000003977945,P48499,41070.74
ZINC000000968226,Q4QHJ8,41070.92
ZINC000000967513,Q4QHJ8,41070.92
ZINC000001530244,O97193,41072.23
ZINC000001530710,O97193,41085.08
ZINC000005197214,Q4QBL1,41095.51
ZINC000002568171,Q4QHJ8,411.02
ZINC000077320103,O15826,411.36
ZINC000077320107,O15826,411.36
ZINC000100040388,P48499,411.45
ZINC000100045148,P48499,411.45
ZINC000100029428,P48499,411.45
ZINC000100029423,P48499,411.45
ZINC000000020240,Q4QHJ8,411.63
ZINC000000056556,Q4QHJ8,411.63
ZINC000100036536,O15826,411.73
ZINC000100042145,O15826,411.73
ZINC000001489478,Q27686,411.75
ZINC000001319177,O15826,411.9
ZINC000003830727,O15826,411.9
ZINC000004164422,O15826,411.9
ZINC000004164431,O15826,411.9
ZINC000003874715,O15826,411.93
ZINC000003861806,O15826,411.93
ZINC000001530303,Q4QBL1,4111.9
ZINC000001530613,Q6TUJ5,41110.85
ZINC000000156395,Q4QHJ8,41116.99
ZINC000004095862,Q6TUJ5,4112.48
ZINC000001529444,Q6TUJ5,4112.48
ZINC000004095860,Q6TUJ5,4112.48
ZINC000011616760,Q6TUJ5,4112.48
ZINC000004284471,Q6TUJ5,4112.48
ZINC000004095861,Q6TUJ5,4112.48
ZINC000004095859,Q6TUJ5,4112.48
ZINC000002539618,Q6TUJ5,4112.48
ZINC000095618912,Q27686,41140.65
ZINC000095618914,Q27686,41140.65
ZINC000095618915,Q27686,41140.65
ZINC000095618913,Q27686,41140.65
ZINC000002584391,Q27686,41141.01
ZINC000100005073,P48499,4115.41
ZINC000253690482,O97193,4115.46
ZINC000004099032,O97193,4115.46
ZINC000253690476,O97193,4115.46
ZINC000105121658,O97193,4115.46
ZINC000043677060,O97193,4115.46
ZINC000002020259,Q4QHJ8,4115.74
ZINC000001542907,O97193,4116.25
ZINC000100007011,O97193,4116.25
ZINC000100071256,O97193,4116.25
ZINC000019796082,O97193,4116.73
ZINC000004655055,Q4QBL1,41165.23
ZINC000100015486,O97193,4117.89
ZINC000095537874,P48499,4118.96
ZINC000002001180,P48499,411866.61
ZINC000002001181,P48499,411866.61
ZINC000003781942,Q4QBL1,412.12
ZINC000019701769,Q27686,412.38
ZINC000004096712,Q4QBL1,412.47
ZINC000019362664,O15826,412.7
ZINC000003812892,Q6TUJ5,41207.69
ZINC000003831511,Q6TUJ5,41207.69
ZINC000040164488,Q6TUJ5,41212.17
ZINC000019632927,Q27686,4122.63
ZINC000095618672,Q4QHJ8,41220.0
ZINC000000896628,Q4QBL1,41229.28
ZINC000084843283,P48499,412307.75
ZINC000005162311,P48499,41231.23
ZINC000000156822,Q4QHJ8,412465.77
ZINC000000000740,Q27686,41247.53
ZINC000000896634,Q27686,41247.53
ZINC000019632633,Q4QBL1,4125.45
ZINC000022056030,Q4QBL1,4125.45
ZINC000019419017,Q4QBL1,41252.28
