drug,prot,score
ZINC000000000504,Q4QHJ8,1.85
ZINC000003813082,O97193,1.85
ZINC000008552018,O15826,1.86
ZINC000000000449,O97193,1.87
ZINC000003813083,O97193,1.87
ZINC000004245650,O15826,1.91
ZINC000004217580,O97193,1.91
ZINC000100014880,Q4QBL1,1.92
ZINC000005736075,Q4QBL1,1.94
ZINC000005752185,O15826,1.94
ZINC000013648755,O15826,1.96
ZINC000100037890,O15826,1.96
ZINC000100037885,O15826,1.96
ZINC000095618855,O15826,1.97
ZINC000000968340,O15826,1.97
ZINC000100016058,O97193,1.97
ZINC000000968338,O15826,1.97
ZINC000100054893,O15826,1.97
ZINC000100054890,O15826,1.97
ZINC000169748244,O97193,1.98
ZINC000299818016,O15826,10.03
ZINC000005736075,Q6TUJ5,10.06
ZINC000012496045,Q27686,10.06
ZINC000003798734,Q27686,10.06
ZINC000043606386,O15826,10.07
ZINC000148723177,O97193,10.09
ZINC000000002226,O15826,10.14
ZINC000100054232,O15826,10.15
ZINC000100054230,O15826,10.15
ZINC000100054235,O15826,10.15
ZINC000261494664,O15826,10.15
ZINC000230122970,O15826,10.15
ZINC000006067254,O97193,10.16
ZINC000256009345,O97193,10.16
ZINC000256009346,O97193,10.16
ZINC000100051482,O97193,10.16
ZINC000006032030,O97193,10.16
ZINC000100051487,O97193,10.16
ZINC000003932194,O97193,10.17
ZINC000003821234,O15826,10.18
ZINC000013648755,Q4QBL1,10.19
ZINC000100037885,Q4QBL1,10.19
ZINC000100037890,Q4QBL1,10.19
ZINC000089224316,O97193,10.22
ZINC000006010196,O97193,10.22
ZINC000003782807,O15826,10.31
ZINC000005699865,O97193,10.33
ZINC000100054856,O97193,10.33
ZINC000100054849,O97193,10.33
ZINC000095618850,O97193,10.33
ZINC000000607986,O15826,10.38
ZINC000005844788,O15826,10.38
ZINC000001999441,O15826,10.38
ZINC000004213946,O15826,10.38
ZINC000003798603,O15826,10.38
ZINC000005844792,O15826,10.38
ZINC000011681534,O15826,10.38
ZINC000004217167,O97193,10.44
ZINC000008214373,O15826,10.5
ZINC000000897240,Q4QHJ8,10.5
ZINC000024782119,O15826,10.5
ZINC000049682739,O15826,10.5
ZINC000000601229,Q4QHJ8,10.5
ZINC000005736075,P48499,10.52
ZINC000003872931,O15826,10.53
ZINC000031544156,O97193,10.54
ZINC000118915222,O97193,10.54
ZINC000031475642,O97193,10.54
ZINC000256296829,O97193,10.54
ZINC000256296835,O97193,10.54
ZINC000118915223,O97193,10.54
ZINC000103592099,O15826,10.54
ZINC000238730523,O15826,10.54
ZINC000261494711,O97193,10.55
ZINC000008552018,Q4QBL1,10.55
ZINC000085589142,O97193,10.55
ZINC000085589133,O97193,10.55
ZINC000085589139,O97193,10.55
ZINC000085589135,O97193,10.55
ZINC000261494710,O97193,10.55
ZINC000012484919,O97193,10.58
ZINC000004474414,O97193,10.58
ZINC000012484926,O97193,10.58
ZINC000000601254,O97193,10.61
ZINC000000896755,O97193,10.61
ZINC000004245650,Q4QBL1,10.62
ZINC000008214681,O97193,10.64
ZINC000003959242,Q4QHJ8,10.64
ZINC000008576333,O15826,10.65
ZINC000004059755,O15826,10.67
ZINC000239173596,O15826,10.67
ZINC000011525121,O15826,10.67
ZINC000084441937,O15826,10.67
ZINC000095618910,O15826,10.69
ZINC000095618911,O15826,10.69
ZINC000095618909,O15826,10.69
ZINC000261494574,O15826,10.69
ZINC000261494573,O15826,10.69
ZINC000095618908,O15826,10.69
ZINC000072693284,O97193,10.72
ZINC000053683271,O97193,10.72
ZINC000054053579,O97193,10.72
ZINC000261527196,O97193,10.72
ZINC000003917540,O97193,10.72
ZINC000003977981,O97193,10.76
ZINC000095617657,O97193,10.77
ZINC000095617660,O97193,10.77
ZINC000095617659,O97193,10.77
ZINC000095617658,O97193,10.77
ZINC000100068378,O97193,10.79
ZINC000002112569,O97193,10.79
ZINC000118915344,Q27686,10.8
ZINC000004214473,Q27686,10.8
ZINC000027552910,Q27686,10.8
ZINC000011616036,O97193,10.8
ZINC000245204943,O97193,10.8
ZINC000256479159,Q27686,10.8
ZINC000256479162,Q27686,10.8
ZINC000003985982,O97193,10.8
ZINC000256479166,Q27686,10.8
ZINC000100051242,O97193,10.8
ZINC000118912516,O97193,10.8
ZINC000000021067,O97193,10.82
ZINC000000006990,O97193,10.82
ZINC000000389149,O97193,10.85
ZINC000000000494,O97193,10.85
ZINC000003875469,O97193,10.86
ZINC000000000928,O15826,10.86
ZINC000004074875,Q4QBL1,10.86
ZINC000004097427,Q4QBL1,10.86
ZINC000103591880,O15826,10.88
ZINC000013587680,O97193,10.9
ZINC000003784120,O97193,10.9
ZINC000013415989,O97193,10.9
ZINC000003806063,O15826,10.91
ZINC000006019913,O15826,10.94
ZINC000013527467,O15826,10.94
ZINC000072316335,Q4QBL1,10.94
ZINC000000607726,O97193,10.96
ZINC000001842746,O97193,10.96
ZINC000001842744,O97193,10.96
ZINC000001842745,O97193,10.96
ZINC000022064534,Q4QHJ8,10.96
ZINC000000597260,Q4QHJ8,10.96
ZINC000001444556,O97193,10.97
ZINC000004213353,O15826,10.97
ZINC000000001261,O15826,10.97
ZINC000261494612,O97193,10.98
ZINC000000004234,O15826,10.98
ZINC000100031739,O97193,10.99
ZINC000000967566,O97193,100.05
ZINC000013537284,Q27686,100.09
ZINC000021981258,Q6TUJ5,100.28
ZINC000021981256,Q6TUJ5,100.28
ZINC000000537804,Q4QBL1,100.44
ZINC000035801098,Q6TUJ5,100.45
ZINC000000968337,O97193,100.51
ZINC000030690612,Q4QBL1,100.52
ZINC000000598852,O15826,100.53
ZINC000103591880,Q27686,100.53
ZINC000002008392,O97193,100.59
ZINC000002008393,O97193,100.59
ZINC000002008394,O97193,100.59
ZINC000002008391,O97193,100.59
ZINC000003961849,O97193,100.75
ZINC000000005191,O97193,100.81
ZINC000095618856,Q4QHJ8,100.83
ZINC000003977985,Q27686,100.89
ZINC000034806477,Q4QBL1,100.99
ZINC000072318121,Q27686,1000.17
ZINC000253387843,Q4QHJ8,1000.62
ZINC000255962815,Q4QHJ8,1000.62
ZINC000003818808,Q4QHJ8,10000.89
ZINC000001531008,Q4QHJ8,100046.56
ZINC000000000941,Q4QHJ8,10005.63
ZINC000095618715,Q4QBL1,10006.58
ZINC000095618714,Q4QBL1,10006.58
