,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000261494553,2.999153588301355,4.279492323914101,7.097144952546055,6.00610088038118,5.381985968199361,4.424125869030637,3.153105570261561
ZINC000261494557,2.9457066662684377,4.109527340681002,6.493110598823799,3.8549906919690815,3.58906236652901,3.1529510196724506,3.159847808451512
ZINC000261494563,1.7173332832817343,3.1953359863756123,6.312415925518577,3.685973233111793,3.0893618499416013,2.2228775869454043,1.9629895622906897
ZINC000261494568,3.658014260533389,4.739719627386905,7.486530134601582,4.806214242742009,4.291077894719566,3.7798048940441045,3.926186180423871
ZINC000261494576,2.1440542810761003,3.618972900210803,6.732040416507209,3.73116286861275,3.1820591011693464,2.309142739139778,2.3656443609384734
ZINC000261494580,1.946155355803813,3.4113870822065033,6.4910833558474,3.8658568949173904,3.2761371337723264,2.412255529785551,2.1948368332279924
ZINC000261494585,3.4490192443639147,3.8915878653050444,6.608149114684147,2.797607060345697,2.2388398711645796,2.4289089359522333,3.6430707655831815
ZINC000261494596,1.5885015238731672,3.113273794993088,6.472956085431488,3.5880867590199763,2.9126725068667585,1.916577881987277,1.8127703573598442
ZINC000261494600,1.5885015238731672,3.113273794993088,6.472956085431488,3.5880867590199763,2.9126725068667585,1.916577881987277,1.8127703573598442
ZINC000261494606,3.7969285861499342,3.9288312945206494,5.826408907615026,2.3301252515649424,2.2929401054821277,3.0386381086891365,3.952536494806039
ZINC000261494611,2.584804826849634,3.3940147899747037,6.505357320785255,3.6818768974739613,2.949715485757076,2.522172110651691,2.8497545239488375
ZINC000261494624,1.3739800374674125,1.650147766499431,4.242139902952864,3.2121298314933715,2.7735999322404994,2.5006665844437594,1.377169697536855
ZINC000261494632,2.3094741776299963,3.72806699670096,6.8075737834003265,3.7252691112824086,3.263288900151117,2.1766167751131014,2.3320354555463076
ZINC000261494636,1.2263840652835984,2.7716255225138973,6.076239623255126,3.4441274429974515,2.7935458318524238,1.8730876749629197,1.4620340790108604
ZINC000261494648,2.082893045154621,3.4655567202756288,6.758118206108007,4.7916311689260205,4.090207499187451,2.859797019668185,2.0814902422168613
ZINC000261494664,2.686630029185204,2.467995403145202,4.585045440867868,1.0767642996675812,0.97521968189686,2.053184444481322,2.725792137888335
ZINC000150338908,2.082893045154621,3.4655567202756288,6.758118206108007,4.7916311689260205,4.090207499187451,2.859797019668185,2.0814902422168613
ZINC000150339050,1.3183372627967611,1.3094572919277834,5.01247853736649,3.8515335359646614,2.956968625938832,2.3734111223961993,1.401297622823074
ZINC000150339055,1.3183372627967611,1.3094572919277834,5.01247853736649,3.8515335359646614,2.956968625938832,2.3734111223961993,1.401297622823074
ZINC000150339325,1.4088679906779653,1.4552697798129592,4.81742917921436,3.7047994152311845,2.940356055419366,2.3620756613892073,1.3774425927913447
ZINC000005752185,3.865395979689703,4.329349318961791,6.854745507066237,2.9898038398275557,2.5683887070725877,2.8164404148551565,4.067324385849706
ZINC000005760499,3.332635363194394,4.9829155321710665,7.730665015399713,5.096708525828128,4.751864019563868,3.769377291006543,3.4694608644411424
ZINC000005783849,3.5095867756792813,4.803158638287426,7.242219040152539,4.435814527507787,4.138948743102042,3.5586937020542417,3.7341236780339924
ZINC000005958052,4.7425964607632585,5.234256161939136,7.347068325219767,5.225801093207742,4.803647570221114,4.7998860367891805,5.012874281848317
ZINC000006019314,3.753197504902727,5.10473987025923,7.637176872320802,4.831984554005892,4.521100262508865,3.8920442802992747,3.9716291042918015
ZINC000006069509,4.975426352876371,6.27946674264146,9.16698938427563,5.086419909485627,4.7809326101937035,4.169114628324595,5.160793709188631
ZINC000006092087,3.4078946702709274,5.094978931642565,8.22870125279252,5.286202185827759,4.784941651161194,3.6812878737985506,3.574801663106402
ZINC000006116332,3.308931716548042,4.2801295434087,6.55418077229835,2.504773682407776,2.6998062768125175,2.6165960860143884,3.383853921564249
