,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000035078403,284.8708751684692,461.0471901489889,417.4936680834838,144.05442049130386,269.68142402748583,292.2341626291222,292.0609263112619
ZINC000206177361,146.45479443443529,321.74673634079437,280.0249067354703,31.65394749109914,132.6335956301108,153.3206203914013,155.40014018081692
ZINC000036520254,270.6130655978278,446.5989953321236,402.61034514415894,129.6996907206936,255.26473269215748,278.0705885422097,277.4180569200949
ZINC000038253214,311.06070364264815,487.0399695166586,443.07895229868916,170.0688969225614,295.68009736662526,318.5017192983899,317.86959619005097
ZINC000038665623,381.555888506746,557.5716120127341,513.5829762853518,240.57436481780732,366.20689568288117,388.98572984423555,388.39852573655446
ZINC000096273105,63.88381214836164,113.27964063987504,73.60997140238977,204.7732676240723,79.69231480582982,56.357215768083535,58.942754016575215
ZINC000000000825,763.9871206249567,939.9989088438688,895.8424579225073,623.012864496814,748.646154333028,771.407976872467,770.803985145758
ZINC000000002908,537.9022565334669,713.9563111659982,669.9567726407682,396.93026408124564,522.5817144424875,545.3124968829235,544.7919580998604
ZINC000000006163,665.7627093170313,841.8317810880501,797.8070794691514,524.8006995184575,650.4560414485636,673.1666683395376,672.6654673136674
ZINC000000538635,225.64329448453043,401.8643983672342,358.75912388728653,86.00071951501396,210.7842174725131,232.91565463888261,233.30515488469666
ZINC000034096099,561.3113673587812,737.3502198688412,693.3082727013923,420.3368722566656,545.9818503329641,568.726905449698,568.1747696149065
ZINC000034630490,279.93114048704643,455.82512500238045,411.75196368958206,138.99236503103185,264.50920792051545,287.40345870144375,286.62383481877725
ZINC000205957597,233.63769044861908,409.764792382686,366.4759870513236,93.09356082699792,218.46908800268093,240.95801973818757,240.96664696052892
ZINC000206179363,191.01256296776057,366.26834402915335,321.8230700621701,51.95823899667266,175.3607106795738,198.60133721688695,197.1025062503338
ZINC000038217837,163.9711407151805,339.00188093470274,294.49419853392493,28.310523939956482,148.26991222063617,171.59184284707825,169.87734009614647
