+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 213  | ZINC000100308851 |    P48499   |     137.95    |
| 214  | ZINC000100308855 |    P48499   |     137.95    |
| 215  | ZINC000100308860 |    P48499   |     137.95    |
| 216  | ZINC000003831583 |    P48499   |     137.95    |
| 217  | ZINC000000897236 |    P48499   |     138.51    |
| 218  | ZINC000000897234 |    P48499   |     138.51    |
| 219  | ZINC000118915227 |    P48499   |     141.67    |
| 220  | ZINC000118915228 |    P48499   |     141.67    |
| 221  | ZINC000118915229 |    P48499   |     141.67    |
| 222  | ZINC000118915230 |    P48499   |     141.67    |
| 223  | ZINC000261494697 |    P48499   |     141.67    |
| 224  | ZINC000261494696 |    P48499   |     141.67    |
| 225  | ZINC000095618870 |    P48499   |     141.67    |
| 226  | ZINC000008101127 |    P48499   |     141.85    |
| 227  | ZINC000029571072 |    P48499   |     142.77    |
| 228  | ZINC000049637509 |    P48499   |     142.77    |
| 229  | ZINC000004212809 |    P48499   |     143.10    |
| 230  | ZINC000000000106 |    P48499   |     145.05    |
| 231  | ZINC000000002276 |    P48499   |     145.05    |
| 232  | ZINC000001891034 |    P48499   |     145.99    |
| 233  | ZINC000001855421 |    P48499   |     146.09    |
| 234  | ZINC000003861133 |    P48499   |     146.32    |
| 235  | ZINC000003861134 |    P48499   |     146.32    |
| 236  | ZINC000084400879 |    P48499   |     149.08    |
| 237  | ZINC000019796087 |    P48499   |     149.08    |
| 238  | ZINC000001482077 |    P48499   |     151.17    |
| 239  | ZINC000004097384 |    P48499   |     151.54    |
| 240  | ZINC000003875362 |    P48499   |     151.54    |
| 241  | ZINC000000900630 |    P48499   |     151.72    |
| 242  | ZINC000000013748 |    P48499   |     151.72    |
| 243  | ZINC000100005148 |    P48499   |     152.89    |
| 244  | ZINC000100005150 |    P48499   |     152.89    |
| 245  | ZINC000002570830 |    P48499   |     153.35    |
| 246  | ZINC000001550766 |    P48499   |     154.13    |
| 247  | ZINC000003779720 |    P48499   |     156.02    |
| 248  | ZINC000085552312 |    P48499   |     157.60    |
| 249  | ZINC000014768568 |    P48499   |     158.59    |
| 250  | ZINC000027428713 |    P48499   |     158.59    |
| 251  | ZINC000000607750 |    P48499   |     158.61    |
| 252  | ZINC000002038967 |    P48499   |     158.61    |
| 253  | ZINC000100036900 |    P48499   |     159.59    |
| 254  | ZINC000100036904 |    P48499   |     159.59    |
| 255  | ZINC000100036907 |    P48499   |     159.59    |
| 256  | ZINC000100036910 |    P48499   |     159.59    |
| 257  | ZINC000004212938 |    P48499   |     160.32    |
| 258  | ZINC000003992105 |    P48499   |     160.60    |
| 259  | ZINC000012494489 |    P48499   |     160.83    |
| 260  | ZINC000004474460 |    P48499   |     160.83    |
| 261  | ZINC000004521924 |    P48499   |     160.83    |
| 262  | ZINC000148723177 |    P48499   |     163.75    |
| 263  | ZINC000004217580 |    P48499   |     166.01    |
| 264  | ZINC000000538285 |    P48499   |     167.34    |
| 265  | ZINC000000537940 |    P48499   |     168.96    |
| 266  | ZINC000096077628 |    P48499   |     169.47    |
| 267  | ZINC000000001402 |    P48499   |     169.66    |
| 268  | ZINC000261494681 |    P48499   |     169.95    |
| 269  | ZINC000100053593 |    P48499   |     169.95    |
| 270  | ZINC000261494682 |    P48499   |     169.95    |
| 271  | ZINC000261494680 |    P48499   |     169.95    |
| 272  | ZINC000095618575 |    P48499   |     169.95    |
| 273  | ZINC000095618574 |    P48499   |     169.95    |
| 274  | ZINC000100053597 |    P48499   |     169.95    |
| 275  | ZINC000261494679 |    P48499   |     169.95    |
| 276  | ZINC000001588900 |    P48499   |     170.66    |
| 277  | ZINC000022056306 |    P48499   |     170.66    |
| 278  | ZINC000103660515 |    P48499   |     171.32    |
| 279  | ZINC000100013500 |    P48499   |     171.32    |
| 280  | ZINC000003931840 |    P48499   |     171.32    |
| 281  | ZINC000252286706 |    P48499   |     173.70    |
| 282  | ZINC000261527149 |    P48499   |     173.70    |
| 283  | ZINC000253630390 |    P48499   |     173.70    |
| 284  | ZINC000253388066 |    P48499   |     173.70    |
| 285  | ZINC000253388068 |    P48499   |     173.70    |
| 286  | ZINC000253388067 |    P48499   |     173.70    |
| 287  | ZINC000003977767 |    P48499   |     178.05    |
| 288  | ZINC000019632663 |    P48499   |     179.24    |
| 289  | ZINC000019632657 |    P48499   |     179.24    |
| 290  | ZINC000030731379 |    P48499   |     179.36    |
| 291  | ZINC000043200832 |    P48499   |     179.97    |
| 292  | ZINC000006409735 |    P48499   |     181.20    |
| 293  | ZINC000000001676 |    P48499   |     181.93    |
| 294  | ZINC000101160855 |    P48499   |     182.52    |
| 295  | ZINC000100003902 |    P48499   |     182.52    |
| 296  | ZINC000003817234 |    P48499   |     182.52    |
| 297  | ZINC000038611810 |    P48499   |     184.01    |
| 298  | ZINC000002000902 |    P48499   |     184.35    |
| 299  | ZINC000037866091 |    P48499   |     185.42    |
| 300  | ZINC000001530598 |    P48499   |     186.57    |
| 301  | ZINC000001530906 |    P48499   |     186.60    |
| 302  | ZINC000001530907 |    P48499   |     186.60    |
| 303  | ZINC000012503291 |    P48499   |     186.92    |
| 304  | ZINC000100008319 |    P48499   |     186.92    |
| 305  | ZINC000100158533 |    P48499   |     186.92    |
| 306  | ZINC000100489810 |    P48499   |     186.92    |
| 307  | ZINC000101144764 |    P48499   |     186.92    |
| 308  | ZINC000004474571 |    P48499   |     188.31    |
| 309  | ZINC000004629876 |    P48499   |     188.31    |
| 310  | ZINC000012484965 |    P48499   |     192.67    |
| 311  | ZINC000038929225 |    P48499   |     193.21    |
| 312  | ZINC000038929224 |    P48499   |     193.21    |
| 313  | ZINC000031291853 |    P48499   |     194.08    |
| 314  | ZINC000004212939 |    P48499   |     194.45    |
| 315  | ZINC000004212945 |    P48499   |     201.41    |
| 316  | ZINC000000537805 |    P48499   |     203.00    |
| 317  | ZINC000001530618 |    P48499   |     204.06    |
| 318  | ZINC000001530617 |    P48499   |     204.06    |
| 319  | ZINC000001530579 |    P48499   |     204.17    |
| 320  | ZINC000001530580 |    P48499   |     204.17    |
| 321  | ZINC000000000867 |    P48499   |     205.88    |
| 322  | ZINC000068204830 |    P48499   |     209.81    |
| 323  | ZINC000004641374 |    P48499   |     211.36    |
| 324  | ZINC000008618002 |    P48499   |     211.36    |
| 325  | ZINC000102249909 |    P48499   |     211.36    |
| 326  | ZINC000003917400 |    P48499   |     211.36    |
| 327  | ZINC000095915244 |    P48499   |     211.36    |
| 328  | ZINC000003782818 |    P48499   |     211.66    |
| 329  | ZINC000100036756 |    P48499   |     213.27    |
| 330  | ZINC000100027531 |    P48499   |     213.27    |
| 331  | ZINC000100036760 |    P48499   |     213.27    |
| 332  | ZINC000100036751 |    P48499   |     213.27    |
| 333  | ZINC000100047524 |    P48499   |     213.27    |
| 334  | ZINC000019796033 |    P48499   |     213.28    |
| 335  | ZINC000019796035 |    P48499   |     213.28    |
| 336  | ZINC000100037855 |    P48499   |     215.70    |
| 337  | ZINC000004099013 |    P48499   |     216.01    |
| 338  | ZINC000012503242 |    P48499   |     216.13    |
| 339  | ZINC000012496833 |    P48499   |     216.29    |
| 340  | ZINC000012496837 |    P48499   |     216.29    |
| 341  | ZINC000009574770 |    P48499   |     217.88    |
| 342  | ZINC000095617679 |    P48499   |     217.88    |
| 343  | ZINC000299818013 |    P48499   |     217.88    |
| 344  | ZINC000100051339 |    P48499   |     217.92    |
| 345  | ZINC000100051344 |    P48499   |     217.92    |
| 346  | ZINC000090693835 |    P48499   |     217.92    |
| 347  | ZINC000253476804 |    P48499   |     217.92    |
| 348  | ZINC000253476805 |    P48499   |     217.92    |
| 349  | ZINC000253476806 |    P48499   |     217.92    |
| 350  | ZINC000003833846 |    P48499   |     218.71    |
| 351  | ZINC000000537755 |    P48499   |     220.60    |
| 352  | ZINC000000003642 |    P48499   |     221.01    |
| 353  | ZINC000000057313 |    P48499   |     221.01    |
| 354  | ZINC000002509755 |    P48499   |     222.77    |
| 355  | ZINC000002528486 |    P48499   |     222.77    |
| 356  | ZINC000043100709 |    P48499   |     223.58    |
| 357  | ZINC000033955641 |    P48499   |     223.93    |
| 358  | ZINC000008637880 |    P48499   |     223.93    |
| 359  | ZINC000012484934 |    P48499   |     223.93    |
| 360  | ZINC000038657182 |    P48499   |     223.93    |
| 361  | ZINC000003831417 |    P48499   |     223.93    |
| 362  | ZINC000029407434 |    P48499   |     226.00    |
| 363  | ZINC000029407431 |    P48499   |     226.00    |
| 364  | ZINC000003935130 |    P48499   |     226.80    |
| 365  | ZINC000254134439 |    P48499   |     226.80    |
| 366  | ZINC000306122005 |    P48499   |     226.80    |
| 367  | ZINC000008143788 |    P48499   |     232.05    |
| 368  | ZINC000100014791 |    P48499   |     232.05    |
| 369  | ZINC000006845076 |    P48499   |     235.16    |
| 370  | ZINC000253476025 |    P48499   |     239.54    |
| 371  | ZINC000253476027 |    P48499   |     239.54    |
| 372  | ZINC000100015775 |    P48499   |     239.54    |
| 373  | ZINC000100015780 |    P48499   |     239.54    |
| 374  | ZINC000253476026 |    P48499   |     239.54    |
| 375  | ZINC000253476028 |    P48499   |     239.54    |
| 376  | ZINC000001530667 |    P48499   |     239.54    |
| 377  | ZINC000001530666 |    P48499   |     239.54    |
| 378  | ZINC000000000440 |    P48499   |     240.08    |
| 379  | ZINC000000896621 |    P48499   |     240.08    |
| 380  | ZINC000067665085 |    P48499   |     241.87    |
| 381  | ZINC000005419315 |    P48499   |     242.38    |
| 382  | ZINC000005159450 |    P48499   |     242.38    |
| 383  | ZINC000035328014 |    P48499   |     245.16    |
| 384  | ZINC000030726187 |    P48499   |     247.16    |
| 385  | ZINC000001849477 |    P48499   |     248.03    |
| 386  | ZINC000000902197 |    P48499   |     249.51    |
| 387  | ZINC000001530689 |    P48499   |     249.51    |
| 388  | ZINC000261494711 |    P48499   |     251.71    |
| 389  | ZINC000085589133 |    P48499   |     251.71    |
| 390  | ZINC000085589139 |    P48499   |     251.71    |
| 391  | ZINC000085589135 |    P48499   |     251.71    |
| 392  | ZINC000085589142 |    P48499   |     251.71    |
| 393  | ZINC000261494710 |    P48499   |     251.71    |
| 394  | ZINC000005138343 |    P48499   |     253.82    |
| 395  | ZINC000005138341 |    P48499   |     253.82    |
| 396  | ZINC000003985982 |    P48499   |     264.38    |
| 397  | ZINC000118912516 |    P48499   |     264.38    |
| 398  | ZINC000245204943 |    P48499   |     264.38    |
| 399  | ZINC000011616036 |    P48499   |     264.38    |
| 400  | ZINC000068249103 |    P48499   |     271.54    |
| 401  | ZINC000095618748 |    P48499   |     272.15    |
| 402  | ZINC000095618749 |    P48499   |     272.15    |
| 403  | ZINC000004213474 |    P48499   |     272.47    |
| 404  | ZINC000022061277 |    P48499   |     274.30    |
| 405  | ZINC000008214681 |    P48499   |     276.30    |
| 406  | ZINC000256296835 |    P48499   |     280.72    |
| 407  | ZINC000031544156 |    P48499   |     280.72    |
| 408  | ZINC000118915222 |    P48499   |     280.72    |
| 409  | ZINC000256296829 |    P48499   |     280.72    |
| 410  | ZINC000118915223 |    P48499   |     280.72    |
| 411  | ZINC000031475642 |    P48499   |     280.72    |
