id,pid,Kd,DeepPurpose_score
id-4607,Q4QHJ8,2.5450632572174072,17195.56
id-24740,O97193,2.5531175136566158,nan
id-12531,P48499,2.561529397964477,nan
id-5907,P48499,2.5657472610473637,nan
id-2568,Q6TUJ5,2.5689632892608643,17545.72
id-12916,Q4QHJ8,2.5731513500213623,nan
id-15574,P48499,2.578097105026245,nan
id-4888,Q27686,2.5816667079925537,180470.34
id-10686,Q6TUJ5,2.590749740600586,nan
id-12087,O97193,2.590824842453003,nan
id-1961,Q6TUJ5,2.593383550643921,428.55
id-13658,O15826,2.5956270694732666,nan
id-13491,P48499,2.60082745552063,nan
id-26693,Q6TUJ5,2.6076157093048096,nan
id-17370,Q6TUJ5,2.6101453304290767,nan
id-27501,Q6TUJ5,2.613189220428467,nan
id-18473,Q6TUJ5,2.616028308868408,nan
id-6109,O15826,2.6173205375671387,nan
id-20130,Q6TUJ5,2.625061511993408,nan
id-24368,Q6TUJ5,2.626030683517456,nan
id-13103,Q4QHJ8,2.629044532775879,nan
id-17869,Q6TUJ5,2.6303083896636963,nan
id-10178,Q6TUJ5,2.634044647216797,nan
id-17107,P48499,2.635582447052002,nan
id-16056,Q6TUJ5,2.6357898712158203,nan
id-5786,P48499,2.635842084884644,nan
id-10117,O97193,2.6382524967193604,nan
id-27720,O97193,2.645585298538208,nan
id-1618,Q27686,2.6489410400390625,1903.45
id-13882,Q4QHJ8,2.6495649814605717,nan
id-24123,Q6TUJ5,2.651051521301269,nan
id-27186,P48499,2.6525914669036865,nan
id-6587,Q4QHJ8,2.654147863388061,nan
id-3877,Q4QHJ8,2.6544008255004883,nan
id-15699,Q6TUJ5,2.6573281288146973,nan
id-19395,Q4QHJ8,2.658086061477661,nan
id-18908,Q27686,2.6650710105896,nan
id-1748,Q27686,2.6650710105896,89275.88
id-16645,O97193,2.6698033809661865,nan
id-6733,O15826,2.67300796508789,nan
id-13276,O15826,2.6760058403015137,nan
id-9188,Q6TUJ5,2.67600679397583,nan
id-26429,P48499,2.681572914123535,nan
id-21019,P48499,2.684074878692627,nan
id-1921,Q6TUJ5,2.6871438026428223,24973.64
id-19204,Q6TUJ5,2.687643527984619,nan
id-2808,O15826,2.69061017036438,27.96
id-13095,Q6TUJ5,2.6947169303894043,nan
id-26360,Q6TUJ5,2.6972899436950684,nan
id-2816,O97193,2.697593212127685,nan
id-17320,O97193,2.703457355499268,nan
id-24016,O15826,2.7046828269958496,nan
id-13538,P48499,2.7100489139556885,nan
id-15499,O97193,2.7154016494750977,nan
id-9909,O97193,2.725088834762573,nan
id-10748,Q6TUJ5,2.726518154144287,nan
id-17765,O97193,2.73199725151062,nan
id-2979,O15826,2.7355477809906006,nan
id-6661,Q6TUJ5,2.7361323833465576,nan
id-10430,O15826,2.7367217540740967,nan
id-248,O15826,2.7367217540740967,173.86
id-5128,O97193,2.739344596862793,nan
id-26482,Q4QHJ8,2.7414319515228267,nan
id-12403,Q6TUJ5,2.7469594478607178,nan
id-12493,Q4QHJ8,2.7517967224121094,nan
id-23479,Q4QHJ8,2.752004146575928,nan
id-8480,P48499,2.7520129680633545,nan
id-22747,Q4QHJ8,2.7527048587799072,nan
id-1153,Q6TUJ5,2.7534315586090092,819.73
