+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 200  | ZINC000100042076 |    Q4QBL1   |     30.55     |
| 201  | ZINC000100009278 |    Q4QBL1   |     30.55     |
| 202  | ZINC000100009280 |    Q4QBL1   |     30.55     |
| 203  | ZINC000001550766 |    Q4QBL1   |     30.63     |
| 204  | ZINC000004654793 |    Q4QBL1   |     31.03     |
| 205  | ZINC000003921872 |    Q4QBL1   |     31.03     |
| 206  | ZINC000118915336 |    Q4QBL1   |     31.24     |
| 207  | ZINC000118915337 |    Q4QBL1   |     31.24     |
| 208  | ZINC000118915338 |    Q4QBL1   |     31.24     |
| 209  | ZINC000118915339 |    Q4QBL1   |     31.24     |
| 210  | ZINC000021981454 |    Q4QBL1   |     31.49     |
| 211  | ZINC000004097438 |    Q4QBL1   |     31.55     |
| 212  | ZINC000004097439 |    Q4QBL1   |     31.55     |
| 213  | ZINC000003831012 |    Q4QBL1   |     31.76     |
| 214  | ZINC000008143796 |    Q4QBL1   |     31.87     |
| 215  | ZINC000001599730 |    Q4QBL1   |     31.89     |
| 216  | ZINC000001599729 |    Q4QBL1   |     31.89     |
| 217  | ZINC000000049583 |    Q4QBL1   |     31.89     |
| 218  | ZINC000018324776 |    Q4QBL1   |     32.09     |
| 219  | ZINC000003831582 |    Q4QBL1   |     32.54     |
| 220  | ZINC000003831581 |    Q4QBL1   |     32.54     |
| 221  | ZINC000003831584 |    Q4QBL1   |     32.54     |
| 222  | ZINC000100308851 |    Q4QBL1   |     32.54     |
| 223  | ZINC000100308855 |    Q4QBL1   |     32.54     |
| 224  | ZINC000100308860 |    Q4QBL1   |     32.54     |
| 225  | ZINC000003831583 |    Q4QBL1   |     32.54     |
| 226  | ZINC000001855421 |    Q4QBL1   |     32.75     |
| 227  | ZINC000029571072 |    Q4QBL1   |     32.88     |
| 228  | ZINC000049637509 |    Q4QBL1   |     32.88     |
| 229  | ZINC000000900630 |    Q4QBL1   |     33.28     |
| 230  | ZINC000000013748 |    Q4QBL1   |     33.28     |
| 231  | ZINC000001891034 |    Q4QBL1   |     33.45     |
| 232  | ZINC000003861133 |    Q4QBL1   |     33.54     |
| 233  | ZINC000003861134 |    Q4QBL1   |     33.54     |
| 234  | ZINC000004212809 |    Q4QBL1   |     34.36     |
| 235  | ZINC000001482077 |    Q4QBL1   |     35.03     |
| 236  | ZINC000100036900 |    Q4QBL1   |     35.11     |
| 237  | ZINC000100036904 |    Q4QBL1   |     35.11     |
| 238  | ZINC000100036907 |    Q4QBL1   |     35.11     |
| 239  | ZINC000100036910 |    Q4QBL1   |     35.11     |
| 240  | ZINC000084400879 |    Q4QBL1   |     35.17     |
| 241  | ZINC000019796087 |    Q4QBL1   |     35.17     |
| 242  | ZINC000000607750 |    Q4QBL1   |     35.41     |
| 243  | ZINC000002038967 |    Q4QBL1   |     35.41     |
| 244  | ZINC000004097384 |    Q4QBL1   |     35.41     |
| 245  | ZINC000003875362 |    Q4QBL1   |     35.41     |
| 246  | ZINC000002570830 |    Q4QBL1   |     36.13     |
| 247  | ZINC000003992105 |    Q4QBL1   |     36.70     |
| 248  | ZINC000003779720 |    Q4QBL1   |     36.87     |
| 249  | ZINC000085552312 |    Q4QBL1   |     37.03     |
| 250  | ZINC000000005298 |    Q4QBL1   |     37.14     |
| 251  | ZINC000000015515 |    Q4QBL1   |     37.14     |
| 252  | ZINC000014768568 |    Q4QBL1   |     37.16     |
| 253  | ZINC000027428713 |    Q4QBL1   |     37.16     |
| 254  | ZINC000012494489 |    Q4QBL1   |     37.22     |
| 255  | ZINC000004474460 |    Q4QBL1   |     37.22     |
| 256  | ZINC000004521924 |    Q4QBL1   |     37.22     |
| 257  | ZINC000100005148 |    Q4QBL1   |     37.57     |
| 258  | ZINC000100005150 |    Q4QBL1   |     37.57     |
| 259  | ZINC000004212938 |    Q4QBL1   |     38.43     |
| 260  | ZINC000000538285 |    Q4QBL1   |     38.60     |
| 261  | ZINC000043200832 |    Q4QBL1   |     38.60     |
| 262  | ZINC000000537940 |    Q4QBL1   |     38.80     |
| 263  | ZINC000096077628 |    Q4QBL1   |     39.16     |
| 264  | ZINC000000001402 |    Q4QBL1   |     39.16     |
| 265  | ZINC000030731379 |    Q4QBL1   |     39.39     |
| 266  | ZINC000261494681 |    Q4QBL1   |     39.77     |
| 267  | ZINC000100053593 |    Q4QBL1   |     39.77     |
| 268  | ZINC000261494682 |    Q4QBL1   |     39.77     |
| 269  | ZINC000261494680 |    Q4QBL1   |     39.77     |
| 270  | ZINC000095618575 |    Q4QBL1   |     39.77     |
| 271  | ZINC000095618574 |    Q4QBL1   |     39.77     |
| 272  | ZINC000100053597 |    Q4QBL1   |     39.77     |
| 273  | ZINC000261494679 |    Q4QBL1   |     39.77     |
| 274  | ZINC000001588900 |    Q4QBL1   |     40.00     |
| 275  | ZINC000022056306 |    Q4QBL1   |     40.00     |
| 276  | ZINC000019632663 |    Q4QBL1   |     40.44     |
| 277  | ZINC000019632657 |    Q4QBL1   |     40.44     |
| 278  | ZINC000006409735 |    Q4QBL1   |     40.80     |
| 279  | ZINC000004217580 |    Q4QBL1   |     41.32     |
| 280  | ZINC000002000902 |    Q4QBL1   |     41.45     |
| 281  | ZINC000003977767 |    Q4QBL1   |     41.72     |
| 282  | ZINC000103660515 |    Q4QBL1   |     41.96     |
| 283  | ZINC000100013500 |    Q4QBL1   |     41.96     |
| 284  | ZINC000003931840 |    Q4QBL1   |     41.96     |
| 285  | ZINC000030726187 |    Q4QBL1   |     42.04     |
| 286  | ZINC000001530906 |    Q4QBL1   |     42.05     |
| 287  | ZINC000001530907 |    Q4QBL1   |     42.05     |
| 288  | ZINC000148723177 |    Q4QBL1   |     42.09     |
| 289  | ZINC000004474571 |    Q4QBL1   |     42.14     |
| 290  | ZINC000004629876 |    Q4QBL1   |     42.14     |
| 291  | ZINC000038611810 |    Q4QBL1   |     42.31     |
| 292  | ZINC000252286706 |    Q4QBL1   |     42.39     |
| 293  | ZINC000261527149 |    Q4QBL1   |     42.39     |
| 294  | ZINC000253630390 |    Q4QBL1   |     42.39     |
| 295  | ZINC000253388066 |    Q4QBL1   |     42.39     |
| 296  | ZINC000253388068 |    Q4QBL1   |     42.39     |
| 297  | ZINC000253388067 |    Q4QBL1   |     42.39     |
| 298  | ZINC000101160855 |    Q4QBL1   |     42.58     |
| 299  | ZINC000100003902 |    Q4QBL1   |     42.58     |
| 300  | ZINC000003817234 |    Q4QBL1   |     42.58     |
| 301  | ZINC000031291853 |    Q4QBL1   |     42.79     |
| 302  | ZINC000012503291 |    Q4QBL1   |     43.08     |
| 303  | ZINC000100008319 |    Q4QBL1   |     43.08     |
| 304  | ZINC000100158533 |    Q4QBL1   |     43.08     |
| 305  | ZINC000100489810 |    Q4QBL1   |     43.08     |
| 306  | ZINC000101144764 |    Q4QBL1   |     43.08     |
| 307  | ZINC000001530598 |    Q4QBL1   |     43.85     |
| 308  | ZINC000012484965 |    Q4QBL1   |     43.88     |
| 309  | ZINC000038929225 |    Q4QBL1   |     44.37     |
| 310  | ZINC000038929224 |    Q4QBL1   |     44.37     |
| 311  | ZINC000001530579 |    Q4QBL1   |     45.06     |
| 312  | ZINC000001530580 |    Q4QBL1   |     45.06     |
| 313  | ZINC000261494711 |    Q4QBL1   |     45.47     |
| 314  | ZINC000085589133 |    Q4QBL1   |     45.47     |
| 315  | ZINC000085589139 |    Q4QBL1   |     45.47     |
| 316  | ZINC000085589135 |    Q4QBL1   |     45.47     |
| 317  | ZINC000085589142 |    Q4QBL1   |     45.47     |
| 318  | ZINC000261494710 |    Q4QBL1   |     45.47     |
| 319  | ZINC000169748244 |    Q4QBL1   |     45.57     |
| 320  | ZINC000004212939 |    Q4QBL1   |     45.60     |
| 321  | ZINC000000001676 |    Q4QBL1   |     46.08     |
| 322  | ZINC000019796033 |    Q4QBL1   |     46.24     |
| 323  | ZINC000019796035 |    Q4QBL1   |     46.24     |
| 324  | ZINC000008143788 |    Q4QBL1   |     46.49     |
| 325  | ZINC000100014791 |    Q4QBL1   |     46.49     |
| 326  | ZINC000000537805 |    Q4QBL1   |     46.60     |
| 327  | ZINC000004212945 |    Q4QBL1   |     46.69     |
| 328  | ZINC000003935130 |    Q4QBL1   |     47.06     |
| 329  | ZINC000254134439 |    Q4QBL1   |     47.06     |
| 330  | ZINC000306122005 |    Q4QBL1   |     47.06     |
| 331  | ZINC000004641374 |    Q4QBL1   |     47.38     |
| 332  | ZINC000008618002 |    Q4QBL1   |     47.38     |
| 333  | ZINC000102249909 |    Q4QBL1   |     47.38     |
| 334  | ZINC000003917400 |    Q4QBL1   |     47.38     |
| 335  | ZINC000095915244 |    Q4QBL1   |     47.38     |
| 336  | ZINC000029407434 |    Q4QBL1   |     47.47     |
| 337  | ZINC000029407431 |    Q4QBL1   |     47.47     |
| 338  | ZINC000003782818 |    Q4QBL1   |     47.55     |
| 339  | ZINC000003833846 |    Q4QBL1   |     47.58     |
| 340  | ZINC000001530618 |    Q4QBL1   |     47.60     |
| 341  | ZINC000001530617 |    Q4QBL1   |     47.60     |
| 342  | ZINC000004099013 |    Q4QBL1   |     47.62     |
| 343  | ZINC000009574770 |    Q4QBL1   |     47.69     |
| 344  | ZINC000095617679 |    Q4QBL1   |     47.69     |
| 345  | ZINC000299818013 |    Q4QBL1   |     47.69     |
| 346  | ZINC000043100709 |    Q4QBL1   |     47.94     |
| 347  | ZINC000000537755 |    Q4QBL1   |     48.01     |
| 348  | ZINC000068204830 |    Q4QBL1   |     48.59     |
| 349  | ZINC000012496833 |    Q4QBL1   |     48.70     |
| 350  | ZINC000012496837 |    Q4QBL1   |     48.70     |
| 351  | ZINC000000003642 |    Q4QBL1   |     48.96     |
| 352  | ZINC000000057313 |    Q4QBL1   |     48.96     |
| 353  | ZINC000100037855 |    Q4QBL1   |     49.12     |
| 354  | ZINC000012503242 |    Q4QBL1   |     49.78     |
| 355  | ZINC000100051339 |    Q4QBL1   |     49.81     |
| 356  | ZINC000100051344 |    Q4QBL1   |     49.81     |
| 357  | ZINC000090693835 |    Q4QBL1   |     49.81     |
| 358  | ZINC000253476804 |    Q4QBL1   |     49.81     |
| 359  | ZINC000253476805 |    Q4QBL1   |     49.81     |
| 360  | ZINC000253476806 |    Q4QBL1   |     49.81     |
| 361  | ZINC000100036756 |    Q4QBL1   |     50.46     |
| 362  | ZINC000100027531 |    Q4QBL1   |     50.46     |
| 363  | ZINC000100036760 |    Q4QBL1   |     50.46     |
| 364  | ZINC000100036751 |    Q4QBL1   |     50.46     |
| 365  | ZINC000100047524 |    Q4QBL1   |     50.46     |
| 366  | ZINC000002509755 |    Q4QBL1   |     50.54     |
| 367  | ZINC000002528486 |    Q4QBL1   |     50.54     |
| 368  | ZINC000033955641 |    Q4QBL1   |     50.72     |
| 369  | ZINC000008637880 |    Q4QBL1   |     50.72     |
| 370  | ZINC000012484934 |    Q4QBL1   |     50.72     |
| 371  | ZINC000038657182 |    Q4QBL1   |     50.72     |
| 372  | ZINC000003831417 |    Q4QBL1   |     50.72     |
| 373  | ZINC000253476025 |    Q4QBL1   |     51.67     |
| 374  | ZINC000253476027 |    Q4QBL1   |     51.67     |
| 375  | ZINC000100015775 |    Q4QBL1   |     51.67     |
| 376  | ZINC000100015780 |    Q4QBL1   |     51.67     |
| 377  | ZINC000253476026 |    Q4QBL1   |     51.67     |
| 378  | ZINC000253476028 |    Q4QBL1   |     51.67     |
| 379  | ZINC000001530667 |    Q4QBL1   |     51.67     |
| 380  | ZINC000001530666 |    Q4QBL1   |     51.67     |
| 381  | ZINC000000000867 |    Q4QBL1   |     51.88     |
